Label	FRx	FRy	KKx	KKy	Outcome	Cluster	Entity
BrighamYoung	0.495903682192657	0.565541736552923	0.489407111976262	0.30900440587816	1	9	1
FloridaState	0.778218901856919	0.306331547929972	0.186211290295232	0.380003463020341	1	2	1
Iowa	0.336268693367121	0.490384746997945	0.629181153129719	0.820220618349012	1	5	1
KansasState	0.507327204584581	0.760004816740227	0.623097094644688	0.471104233463357	1	10	1
NewMexico	0.317403014084615	0.793618740516923	0.749819008983182	0.19488020989781	1	9	1
TexasTech	0.514739951067654	0.996845114545869	0.85156520472439	0.172350413166828	1	10	1
PennState	0.316061341403474	0.334214349978404	0.502841945287617	0.838619823598662	1	5	1
SouthernCalifornia	0.121179810921558	0.67068397189983	0.814639537431911	0.792632031513921	1	4	1
ArizonaState	0.0582068653819094	0.793884277305753	0.98438755105793	0.494535601246276	1	4	1
SanDiegoState	0.189258346666087	0.687540624138518	0.763731798709299	0.465102118140275	1	9	1
Baylor	0.483039494718328	0.88655438017504	0.874512172957787	0.405564834621548	1	10	1
NorthTexas	0.537953567818395	0.869596194744047	0.682595120779242	0.110449751073679	1	9	1
NorthernIllinois	0.565301754868579	0.150074805169453	0.160760068731462	0.679972275908237	1	7	1
Northwestern	0.414243751472443	0.330102110950978	0.403230484489847	0.783292723941233	1	5	1
WesternMichigan	0.3642255235821	0.151363700398207	0.336548656094121	0.897754820440471	1	7	1
Wisconsin	0.298581639314167	0.414491829979339	0.541322825213351	0.770212888669231	1	5	1
Wyoming	0.381009201283205	0.648633587788566	0.595260193902017	0.342463174512255	1	9	1
Auburn	0.771229387443349	0.496373699514082	0.273963112078642	0.263021236749992	1	8	1
Akron	0.530875685128383	0.0204487945101581	0.0863415155236372	0.795064041737769	1	7	1
VirginiaTech	0.66028078832615	0.11826259419292	0.0898716375602719	0.643235315348089	1	6	1
Alabama	0.742497865565206	0.563357705784235	0.387743110561557	0.255758084169154	1	8	1
UCLA	0.188752556483905	0.612365661774789	0.743714905355933	0.617152342519164	1	4	1
Arizona	0	0.649759285111648	0.930145345117	0.747343319789842	1	4	1
Utah	0.202380446634722	0.743414380667233	0.854557894732285	0.357692081259051	1	9	1
ArkansasState	0.614612446550558	0.755495211037182	0.556130970852205	0.192773176875823	1	9	1
NorthCarolinaState	0.731700280816639	0.382363025762227	0.283829321603678	0.449719197388645	1	2	1
BallState	0.595246887557748	0.267249322249651	0.220834895578971	0.583385107585775	1	7	1
Florida	0.941606702174083	0.413089185278824	0.0596000447616144	0.232860127670061	1	8	1
BoiseState	0.481030318012078	0.673104726282247	0.597853190482174	0.280176375304293	1	9	1
BostonCollege	0.564370316248697	0.225553827943595	0.271318144218129	0.702184783869591	1	6	1
WestVirginia	0.550695918704695	0.284561219350115	0.345761405709891	0.624805773567681	1	6	1
BowlingGreenState	0.399631020440199	0.00315866344935583	0.24726107535371	0.970469872381098	1	7	1
Michigan	0.240878071182694	0.349255565607817	0.579912001340294	0.869338164541096	1	5	1
Virginia	0.779003184156693	0.240869573583915	0.107862741435157	0.374847407802417	1	2	1
Buffalo	0.500941019685892	0	0.123342183223924	0.851253736114535	1	7	1
Syracuse	0.611601705759676	0.216458689158592	0.252215519441013	0.591213108295006	1	6	1
CentralFlorida	0.714448135940723	0.265208391125454	0.114241506635308	0.494547967358166	1	7	1
